query,cluster,type,n_chars,n_tokens,mean_tok_len,frac_latin,frac_digit,frac_vowel,max_char_run,dict_coverage,mean_edit_dist,oddness
горошек гол,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,5.938102975643227
бонафи,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.3333333333333333,5.944087848966019
цинкарь,2,искажённое слово,7,1,7.0,0.0,0.0,0.2857142857142857,1,0.0,0.42857142857142855,6.4843593854437644
фистаа,10,искажённое слово · вставки/удвоения,6,1,6.0,0.0,0.0,0.5,2,0.0,0.25,6.7184493556559675
ягоды морозилка,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.5,1,1.0,0.0,6.12589908403631
блины с нутеллой,4,норма · удвоенная буква,16,3,4.666666666666667,0.0,0.0,0.35714285714285715,2,1.0,0.0,6.24312524705209
чипупел,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.375,6.5749306119264315
ягоа,2,искажённое слово,4,1,4.0,0.0,0.0,0.75,1,0.0,0.2,7.129301053489283
цикорй,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.14285714285714285,7.111591855151461
масло,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.468233046144761
тесто для р,1,норма · 2 слова,11,3,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.70688433881465
d aroy,0,латиница,6,2,2.5,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
сочник с сгущенкой,7,норма · фраза,18,3,5.333333333333333,0.0,0.0,0.3125,1,1.0,0.0,6.182874240658587
для масла,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,5.72205139235012
стейки для гриля,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.35714285714285715,1,1.0,0.0,5.817677170620375
тук с крабом,1,норма · 2 слова,12,3,3.3333333333333335,0.0,0.0,0.3,1,1.0,0.0,6.092350168651787
ушастыйнянь,2,искажённое слово,11,1,11.0,0.0,0.0,0.36363636363636365,1,0.0,0.36363636363636365,6.597443075251564
козьи сыр,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,7.098962027237902
пластовый,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.354353054518762
хлеб пшеничный с отрубями,7,норма · фраза,25,4,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.5670090056636345
поми,2,искажённое слово,4,1,4.0,0.0,0.0,0.5,1,0.0,0.25,5.169316757595947
арабская лепешка,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4666666666666667,1,1.0,0.0,6.48939186313877
сыр 250,6,код / артикул,7,1,3.0,0.0,0.42857142857142855,0.3333333333333333,1,1.0,0.0,5.815402877927328
творожок банан,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.38461538461538464,1,1.0,0.0,6.348879059695721
помидоры черешня,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4666666666666667,1,1.0,0.0,6.279721405125006
мария печ,9,фраза с искажением,9,2,4.0,0.0,0.0,0.5,1,0.5,0.25,6.63563421778092
президент бри,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.023390643109822
для посыпка,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,6.220846090739349
шнурок,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.531785768947978
для прочисттруб,10,искажённое слово · вставки/удвоения,15,2,7.0,0.0,0.0,0.2857142857142857,2,0.5,0.36363636363636365,6.268148903128903
шампанское,5,норма · длинные слова,10,1,10.0,0.0,0.0,0.4,1,1.0,0.0,5.724956741896256
ростки фас,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.003188618073515
белково полбяной хлеб,7,норма · фраза,21,3,6.333333333333333,0.0,0.0,0.3684210526315789,1,1.0,0.0,6.370799392774326
миксидуо,2,искажённое слово,8,1,8.0,0.0,0.0,0.5,1,0.0,0.5,6.981971553600247
хот,3,норма · 1 слово,3,1,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.886058028580492
даниссимо,4,норма · удвоенная буква,9,1,9.0,0.0,0.0,0.4444444444444444,2,1.0,0.0,5.875500710338473
печеньемилка,2,искажённое слово,12,1,12.0,0.0,0.0,0.4166666666666667,1,0.0,0.3333333333333333,6.011576965452372
йогурт натуральн,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.3333333333333333,1,0.5,0.1,6.266000906218461
сливки фрима,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.026890149222342
гречуу,10,искажённое слово · вставки/удвоения,6,1,6.0,0.0,0.0,0.5,2,0.0,0.3333333333333333,7.065881371154482
сок морковный,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.8336451804963865
фрукты абри,9,фраза с искажением,11,2,5.0,0.0,0.0,0.4,1,0.5,0.25,7.066386766450731
яблочный сок литр,7,норма · фраза,17,3,5.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.162736456009955
сендвич,2,искажённое слово,7,1,7.0,0.0,0.0,0.2857142857142857,1,0.0,0.14285714285714285,6.604580147628791
шампанское santo,5,норма · длинные слова,16,2,7.5,0.3333333333333333,0.0,0.4,1,0.5,0.0,5.724956741896256
пена,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,4.92656324843937
маринованные огурцы,4,норма · удвоенная буква,19,2,9.0,0.0,0.0,0.5,2,1.0,0.0,5.758349504829401
индейка нарезана,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4666666666666667,1,1.0,0.0,5.477961270547148
колбаса самоката,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4666666666666667,1,1.0,0.0,5.509957930463343
